# sfz2al_arrange_trigger_map: see REBUILDING.md
0x01	01	play	0x60
0x02	02	play	0x60
0x03	05	play	0x60
0x04	0C	play	0x60
0x05	07	play	0x60
0x06	06	play	0x60
0x07	09	play	0x60
0x08	08	play	0x60
0x09	04	play	0x60
0x0a	0A	play	0x60
0x0b	03	play	0x60
0x0c	0B	play	0x60
0x0d	0D	play	0x60
0x0e	10	play	0x60
0x0f	11	play	0x60
0x10	12	play	0x60
0x11	0F	play	0x60
0x12	0E	play	0x60
0x13	15	play	0x60
0x14	16	play	0x7f
0x15	17	play	0x60
0x16	18	play	0x60
0x17	1A	play	0x60
0x18	19	play	0x60
0x19	1B	play	0x60
0x1a	1C	play	0x60
0x1b	1D	play	0x60
0x1c	20	play	0x60
0x1d	21	play	0x60
0x1e	22	play	0x60
0x1f	27	play	0x60
0x20	2F	play	0x60
0x21	2A	play	0x60
0x22	28	play	0x60
0x23	29	play	0x60
0x24	2C	play	0x60
0x25	2B	play	0x60
0x26	25	play	0x60
0x27	2D	play	0x60
0x28	23	play	0x60
0x29	2E	play	0x60
0x2a	30	play	0x60
0x2b	34	play	0x60
0x2c	35	play	0x60
0x2d	37	play	0x60
0x2e	38	play	0x60
0x2f	33	play	0x60
0x30	31	play	0x60
0x31	32	play	0x60
0x32	39	play	0x60
0x33	3A	play	0x60
0x34	1E	play	0x60
0x35	13	play	0x60
0x36	26	play	0x60
0x37	24	play	0x60
0x38	36	play	0x60
0x39	3B	play	0x60
0x3a	1F	play	0x60
0x3d	3C	play	0x60
0x3e	-	stop	-
0x3f	-	stop	-
